"pid","grp","duration","entry","exit"
4925,"inactive",164,164,479
4926,"inactive",164,164,485
4934,"inactive",164,164,480
4936,"inactive",164,164,479
4938,"inactive",165,165,480
4939,"inactive",165,165,480
4967,"inactive",166,166,484
4973,"inactive",166,166,482
4976,"inactive",166,166,484
4977,"inactive",166,166,483
4980,"inactive",166,166,485
5015,"inactive",168,168,484
5021,"inactive",168,168,485
5026,"inactive",168,168,489
5029,"inactive",168,168,488
5054,"inactive",169,169,488
5059,"inactive",169,169,495
5085,"inactive",170,170,490
5092,"inactive",170,170,491
5106,"inactive",170,170,491
5109,"inactive",170,170,492
5115,"inactive",171,171,494
5126,"inactive",171,171,495
5127,"inactive",171,171,492
5129,"inactive",171,171,492
5132,"inactive",171,171,493
5133,"inactive",171,171,494
5134,"inactive",171,171,495
5150,"inactive",172,172,495
5153,"inactive",172,172,495
5166,"inactive",172,172,498
5169,"inactive",172,172,503
5175,"inactive",173,173,497
5182,"inactive",173,173,494
5192,"inactive",173,173,497
5193,"inactive",173,173,500
5195,"inactive",173,173,497
5196,"inactive",173,173,500
5201,"inactive",174,174,503
5207,"inactive",174,174,501
5217,"inactive",174,174,507
5228,"inactive",175,175,505
5239,"inactive",175,175,507
5240,"inactive",175,175,510
5243,"inactive",175,175,506
5252,"inactive",176,176,506
5257,"inactive",176,176,508
5264,"inactive",176,176,520
5279,"inactive",177,177,515
5285,"inactive",177,177,510
5289,"inactive",177,177,512
5291,"inactive",177,177,512
5292,"inactive",177,177,514
5314,"inactive",178,178,515
5332,"inactive",179,179,517
5337,"inactive",179,179,518
5342,"inactive",179,179,522
5366,"inactive",180,180,526
5380,"inactive",180,180,522
5381,"inactive",180,180,528
5392,"inactive",181,181,525
5394,"inactive",181,181,523
5403,"inactive",181,181,524
5405,"inactive",181,181,523
5416,"inactive",182,182,530
5418,"inactive",182,182,526
5432,"inactive",182,182,529
5448,"inactive",183,183,529
5477,"inactive",183,183,533
5482,"inactive",184,184,532
5489,"inactive",184,184,539
5497,"inactive",184,184,533
5507,"inactive",184,184,538
5509,"inactive",185,185,539
5510,"inactive",185,185,539
5515,"inactive",185,185,537
5517,"inactive",185,185,539
5521,"inactive",185,185,544
5527,"inactive",185,185,538
5529,"inactive",185,185,544
5531,"inactive",185,185,536
5535,"inactive",186,186,541
5541,"inactive",186,186,541
5558,"inactive",186,186,541
5559,"inactive",186,186,544
5572,"inactive",187,187,543
5578,"inactive",187,187,549
5592,"inactive",187,187,548
5595,"inactive",188,188,549
5625,"inactive",189,189,553
5633,"inactive",189,189,553
5636,"inactive",189,189,554
5637,"inactive",189,189,552
5657,"inactive",190,190,554
5661,"inactive",190,190,554
5680,"inactive",191,191,555
5683,"inactive",191,191,558
5688,"inactive",191,191,556
5690,"inactive",191,191,556
5692,"inactive",191,191,564
5698,"inactive",191,191,562
5724,"inactive",192,192,565
5726,"inactive",192,192,561
5727,"inactive",192,192,562
5739,"inactive",193,193,562
5741,"inactive",193,193,564
5747,"inactive",193,193,566
5752,"inactive",193,193,572
5758,"inactive",193,193,567
5760,"inactive",193,193,568
5767,"inactive",193,193,565
5773,"inactive",194,194,567
5785,"inactive",194,194,570
5788,"inactive",194,194,571
5797,"inactive",194,194,571
5799,"inactive",194,194,569
5800,"inactive",195,195,571
5819,"inactive",195,195,574
5825,"inactive",195,195,574
5829,"inactive",195,195,577
5839,"inactive",196,196,575
5841,"inactive",196,196,575
5849,"inactive",196,196,581
5861,"inactive",196,196,578
5868,"inactive",197,197,580
5873,"inactive",197,197,581
5879,"inactive",197,197,580
5883,"inactive",197,197,583
5887,"inactive",197,197,583
5903,"inactive",198,198,585
5921,"inactive",199,199,587
5922,"inactive",199,199,585
5942,"inactive",200,200,591
5951,"inactive",200,200,587
5961,"inactive",200,200,589
5965,"inactive",200,200,591
5968,"inactive",200,200,593
5971,"inactive",200,200,593
5975,"inactive",201,201,589
5976,"inactive",201,201,599
5985,"inactive",201,201,591
5986,"inactive",201,201,596
6013,"inactive",202,202,594
6015,"inactive",202,202,594
6028,"inactive",202,202,597
6037,"inactive",203,203,599
6041,"inactive",203,203,599
6044,"inactive",203,203,599
6060,"inactive",204,204,601
6074,"inactive",204,204,601
6075,"inactive",204,204,605
6077,"inactive",204,204,600
6078,"inactive",204,204,608
6079,"inactive",204,204,603
6084,"inactive",204,204,606
6087,"inactive",204,204,608
6099,"inactive",205,205,611
6101,"inactive",205,205,608
6111,"inactive",205,205,613
6125,"inactive",206,206,610
6127,"inactive",206,206,614
6148,"inactive",206,206,612
6165,"inactive",207,207,616
6175,"inactive",208,208,621
6189,"inactive",208,208,616
6190,"inactive",208,208,619
6191,"inactive",208,208,620
6197,"inactive",208,208,621
6198,"inactive",208,208,617
6200,"inactive",208,208,618
6206,"inactive",208,208,618
6207,"inactive",208,208,621
6208,"inactive",209,209,616
6220,"inactive",209,209,619
6221,"inactive",209,209,622
6225,"inactive",209,209,624
6232,"inactive",209,209,625
6234,"inactive",209,209,624
6235,"inactive",209,209,630
6237,"inactive",209,209,623
6267,"inactive",210,210,627
6269,"inactive",210,210,627
6297,"inactive",211,211,637
6302,"inactive",211,211,633
6308,"inactive",212,212,633
